name,books,movies,tv_shows,video_games,total_entertainment,pct_screen
Isabella,1.0,1.7,5.8,5.4,13.9,92.81
Isabelle,3.8,4.5,3.3,6.2,17.8,78.65
Isolde,5.0,5.0,3.8,5.7,19.5,74.36
Ivy,3.8,4.9,4.6,6.9,20.2,81.19
Jacinda,4.5,4.8,4.2,6.2,19.7,77.16
Jacob,5.8,5.2,4.5,6.7,22.2,73.87
Jade,3.2,4.5,4.2,5.7,17.6,81.82
James,5.8,5.9,4.8,6.8,23.3,75.11
Jayla,2.5,3.5,3.9,5.7,15.600000000000001,83.97
Josephine,3.8,4.6,4.2,6.5,19.099999999999998,80.1
Juliet,2.8,3.8,3.6,5.5,15.7,82.17
Katerina,4.5,4.9,4.5,6.1,20.0,77.5
Kaya,2.5,4.0,3.3,6.0,15.8,84.18
Kinley,3.8,4.5,4.4,6.0,18.700000000000003,79.68
Kinsley,3.8,4.2,4.5,5.9,18.4,79.35
Lavinia,5.2,5.6,4.2,6.4,21.4,75.7
Layla,0.5,1.6,4.6,4.8,11.5,95.65
Leilani,0.5,1.3,4.5,4.4,10.7,95.33
Liam,0.5,1.4,4.5,4.9,11.3,95.58
Lila,3.5,4.8,4.2,6.8,19.3,81.87
Liliana,3.8,4.5,4.5,5.6,18.4,79.35
Lillian,0.5,1.9,5.1,4.8,12.3,95.93
Lily,1.0,1.5,5.6,5.1,13.2,92.42
Lorelei,3.2,4.1,4.2,5.7,17.2,81.4
Lucy,0.8,1.3,5.2,5.0,12.3,93.5
Mabel,3.2,4.0,3.8,5.5,16.5,80.61
Mackenzie,4.0,4.7,4.9,6.3,19.9,79.9
Madeline,3.5,3.9,4.1,5.2,16.7,79.04
Madelyn,3.2,4.0,3.4,5.5,16.1,80.12
Mariposa,4.0,5.8,4.5,7.2,21.5,81.4
Mary,3.2,4.4,3.4,6.3,17.3,81.5
Matthew,4.5,5.1,4.5,5.9,20.0,77.5
Melody,3.2,4.3,4.4,6.4,18.3,82.51
Mia,0.5,1.5,5.1,5.0,12.1,95.87
Michael,4.8,5.0,3.8,6.3,19.900000000000002,75.88
Mila,1.5,1.6,5.2,5.0,13.3,88.72
Millie,2.5,3.3,3.4,5.0,14.2,82.39
Morgan,2.5,3.3,3.6,4.9,14.3,82.52
Nadia,4.8,6.1,4.2,7.4,22.5,78.67
Naomi,3.5,4.4,4.6,6.7,19.2,81.77
Natalie,0.5,1.5,5.2,5.2,12.4,95.97
Nina,6.2,6.0,4.9,6.3,23.400000000000002,73.5
Noah,0.5,1.5,4.6,4.6,11.2,95.54
Nora,0.5,1.4,6.3,5.5,13.7,96.35
Octavia,5.0,6.4,5.7,7.9,25.0,80.0
Odette,6.0,5.1,4.2,5.8,21.1,71.56
Olivia,0.5,1.3,4.8,4.7,11.3,95.58
Paisley,0.5,1.4,4.8,4.6,11.299999999999999,95.58
Penelope,0.5,1.0,5.4,4.6,11.5,95.65
Persephone,5.5,5.6,4.2,6.4,21.700000000000003,74.65
Quiteria,3.8,5.1,4.2,6.3,19.4,80.41
Riley,1.0,1.5,5.1,5.4,13.0,92.31
Rosalie,5.5,5.8,4.5,6.5,22.3,75.34
Rosalind,3.5,5.6,3.9,6.1,19.1,81.68
Rylee,3.8,4.9,3.8,6.3,18.8,79.79
Sabrina,5.2,6.6,4.5,7.6,23.9,78.24
Samantha,0.0,1.4,5.4,4.9,11.700000000000001,100.0
Savannah,0.5,1.3,5.2,5.5,12.5,96.0
Scarlett,0.8,1.4,5.2,5.1,12.5,93.6
Selene,5.8,6.1,4.5,7.7,24.099999999999998,75.93
Seraphina,4.2,4.5,3.8,4.9,17.4,75.86
Skylar,3.5,4.7,4.8,7.0,20.0,82.5
Sloane,3.8,4.7,4.6,6.7,19.8,80.81
Sofia,0.5,1.2,6.0,5.8,13.5,96.3
Sophia,0.8,1.4,5.1,4.6,11.899999999999999,93.28
Stella,0.5,1.3,4.8,4.4,11.0,95.45
Tatiana,5.8,5.3,4.8,6.4,22.299999999999997,73.99
Taylor,1.0,1.9,5.7,5.1,13.7,92.7
Tessa,3.2,4.3,4.4,6.2,18.1,82.32
Theodora,6.0,5.6,5.1,6.3,23.0,73.91
Ursula,4.5,5.5,4.6,6.4,21.0,78.57
Valentina,4.5,5.5,4.5,6.5,21.0,78.57
Valeria,4.5,4.8,4.5,6.0,19.8,77.27
Vera,3.0,4.0,3.9,5.8,16.7,82.04
Victoria,0.5,1.7,5.1,5.4,12.7,96.06
Violet,0.8,1.4,4.5,4.8,11.5,93.04
Vivian,2.8,3.0,3.8,5.1,14.7,80.95
William,4.8,5.1,4.1,5.8,19.799999999999997,75.76
Willow,2.5,4.1,4.1,5.8,16.5,84.85
Winifred,5.2,5.4,4.6,6.9,22.1,76.47
Xanthe,6.0,5.6,4.6,6.7,22.9,73.8
Zara,5.5,6.7,5.7,7.7,25.599999999999998,78.52
Zoe,0.0,1.5,6.1,5.2,12.8,100.0
Zoey,1.2,1.7,4.9,5.1,12.9,90.7
